GP;date;year;month;day;T;P;Q_obs;Q_sim
76075 Kosa;15.01.2012;2012;1;15;-4.65;0;8.05;1.75
76075 Kosa;16.01.2012;2012;1;16;-9.41;0.3;8.1;1.69
76075 Kosa;17.01.2012;2012;1;17;-16.09;0.25;8.33;1.62
76075 Kosa;18.01.2012;2012;1;18;-5.35;1.05;8.55;1.56
76075 Kosa;19.01.2012;2012;1;19;-11.38;0;8.78;1.51
76075 Kosa;20.01.2012;2012;1;20;-14.03;0;8.78;1.45
76075 Kosa;21.01.2012;2012;1;21;-15.69;0;8.58;1.4
76075 Kosa;22.01.2012;2012;1;22;-15.21;0;8.58;1.35
76075 Kosa;23.01.2012;2012;1;23;-16.21;0;8.58;1.3
76075 Kosa;24.01.2012;2012;1;24;-20.64;0;7.96;1.25
76075 Kosa;25.01.2012;2012;1;25;-21.3;0;7.96;1.21
76075 Kosa;26.01.2012;2012;1;26;-21.35;0;7.77;1.16
76075 Kosa;27.01.2012;2012;1;27;-19.23;0;7.56;1.12
76075 Kosa;28.01.2012;2012;1;28;-18.83;0.05;7.38;1.08
76075 Kosa;29.01.2012;2012;1;29;-17.55;0.15;7.38;1.04
76075 Kosa;30.01.2012;2012;1;30;-22.56;0;7;1
76075 Kosa;31.01.2012;2012;1;31;-24.69;0;6.83;0.97
76075 Kosa;01.02.2012;2012;2;1;-25.55;0;6.27;0.93
76075 Kosa;02.02.2012;2012;2;2;-21.89;0.7;5.74;0.9
76075 Kosa;03.02.2012;2012;2;3;-19.45;0;5.56;0.86
76075 Kosa;04.02.2012;2012;2;4;-21.23;0;5.21;0.83
76075 Kosa;05.02.2012;2012;2;5;-21.29;0;4.72;0.8
76075 Kosa;06.02.2012;2012;2;6;-18.68;0;4.38;0.77
76075 Kosa;07.02.2012;2012;2;7;-19.28;0;4.2;0.75
76075 Kosa;08.02.2012;2012;2;8;-21.75;0;4.14;0.72
76075 Kosa;09.02.2012;2012;2;9;-20.88;0;4.01;0.69
76075 Kosa;10.02.2012;2012;2;10;-19.23;0;3.88;0.67
76075 Kosa;11.02.2012;2012;2;11;-15.95;0;3.98;0.64
76075 Kosa;12.02.2012;2012;2;12;-16.08;0;3.98;0.62
76075 Kosa;13.02.2012;2012;2;13;-18.8;0;3.95;0.6
76075 Kosa;14.02.2012;2012;2;14;-20.65;0.3;3.95;0.57
76075 Kosa;15.02.2012;2012;2;15;-16.05;0;4.05;0.55
76075 Kosa;16.02.2012;2012;2;16;-9.03;0;4.19;0.53
76075 Kosa;17.02.2012;2012;2;17;-10.81;0;4.3;0.51
76075 Kosa;18.02.2012;2012;2;18;-10.55;0;4.55;0.5
76075 Kosa;19.02.2012;2012;2;19;-10.1;0;4.55;0.48
76075 Kosa;20.02.2012;2012;2;20;-13.83;0;4.82;0.46
76075 Kosa;21.02.2012;2012;2;21;-11.14;0.25;4.82;0.44
76075 Kosa;22.02.2012;2012;2;22;-8.61;1.05;4.93;0.43
76075 Kosa;23.02.2012;2012;2;23;-10.05;0.3;5.14;0.41
76075 Kosa;24.02.2012;2012;2;24;-8.4;0.5;5.26;0.4
76075 Kosa;25.02.2012;2012;2;25;-9.18;0;5.26;0.38
76075 Kosa;26.02.2012;2012;2;26;-9.06;0;5.37;0.37
76075 Kosa;27.02.2012;2012;2;27;-7.81;0;5.59;0.36
76075 Kosa;28.02.2012;2012;2;28;-9.29;0.05;5.59;0.34
76075 Kosa;29.02.2012;2012;2;29;-6.6;0.4;5.72;0.33
76075 Kosa;01.03.2012;2012;3;1;-4.86;0.8;5.72;0.32
76075 Kosa;02.03.2012;2012;3;2;-5.51;0.15;5.72;0.31
76075 Kosa;03.03.2012;2012;3;3;-4.11;0;5.94;0.29
76075 Kosa;04.03.2012;2012;3;4;-6.64;0;5.94;0.28
76075 Kosa;05.03.2012;2012;3;5;-5.66;0;5.94;0.27
76075 Kosa;06.03.2012;2012;3;6;-10.26;0.1;5.94;0.26
76075 Kosa;07.03.2012;2012;3;7;-9.04;1.25;5.94;0.25
76075 Kosa;08.03.2012;2012;3;8;-6.93;0.75;6.17;0.25
76075 Kosa;09.03.2012;2012;3;9;-5.83;0;6.17;0.24
76075 Kosa;10.03.2012;2012;3;10;-6.28;0;6.17;0.23
76075 Kosa;11.03.2012;2012;3;11;-7.2;0;6.17;0.22
76075 Kosa;12.03.2012;2012;3;12;-7.95;0;6.26;0.21
76075 Kosa;13.03.2012;2012;3;13;-10.48;0.08;6.26;0.2
76075 Kosa;14.03.2012;2012;3;14;-8.56;0.28;6.26;0.2
76075 Kosa;15.03.2012;2012;3;15;-8.5;0.95;6.26;0.19
76075 Kosa;16.03.2012;2012;3;16;-8.31;3.5;6.12;0.18
76075 Kosa;17.03.2012;2012;3;17;-8.51;0.1;6.34;0.18
76075 Kosa;18.03.2012;2012;3;18;-5.55;4.55;6.2;0.17
76075 Kosa;19.03.2012;2012;3;19;-1.54;1.83;6.2;0.16
76075 Kosa;20.03.2012;2012;3;20;-4.64;0.73;6.41;0.16
76075 Kosa;21.03.2012;2012;3;21;-2.03;7.58;6.26;0.15
76075 Kosa;22.03.2012;2012;3;22;-3.04;0.98;6.26;0.15
76075 Kosa;23.03.2012;2012;3;23;-7.45;0.15;6.12;0.14
76075 Kosa;24.03.2012;2012;3;24;-8.46;0;6.32;0.14
76075 Kosa;25.03.2012;2012;3;25;-9.7;0;6.17;0.13
76075 Kosa;26.03.2012;2012;3;26;-6.73;0;6.17;0.13
76075 Kosa;27.03.2012;2012;3;27;-6.06;2;6.02;0.12
76075 Kosa;28.03.2012;2012;3;28;-3.45;4;6.02;0.12
76075 Kosa;29.03.2012;2012;3;29;-5.9;2.3;6.02;0.11
76075 Kosa;30.03.2012;2012;3;30;-1.94;2.1;5.87;0.11
76075 Kosa;31.03.2012;2012;3;31;2.55;0.38;5.87;0.15
76075 Kosa;01.04.2012;2012;4;1;2.89;0.23;5.87;0.29
76075 Kosa;02.04.2012;2012;4;2;0.66;7.08;6.21;0.49
76075 Kosa;03.04.2012;2012;4;3;0.76;0.35;6.8;0.64
76075 Kosa;04.04.2012;2012;4;4;-0.13;2.38;7.2;0.7
76075 Kosa;05.04.2012;2012;4;5;-1.86;0;7.79;0.68
76075 Kosa;06.04.2012;2012;4;6;-0.69;0;7.98;0.67
76075 Kosa;07.04.2012;2012;4;7;1;0.5;8.58;0.65
76075 Kosa;08.04.2012;2012;4;8;6.54;1.6;8.78;0.84
76075 Kosa;09.04.2012;2012;4;9;7.44;1.4;9.64;1.82
76075 Kosa;10.04.2012;2012;4;10;6.59;5.5;10.8;4.68
76075 Kosa;11.04.2012;2012;4;11;0.88;0;11.8;8.6
76075 Kosa;12.04.2012;2012;4;12;3.6;0;13.3;12.29
76075 Kosa;13.04.2012;2012;4;13;2.61;0.13;16.2;15.07
76075 Kosa;14.04.2012;2012;4;14;5.98;1.48;21.3;18.69
76075 Kosa;15.04.2012;2012;4;15;4.3;0.3;28.4;24.66
76075 Kosa;16.04.2012;2012;4;16;9.83;0;34.6;34.54
76075 Kosa;17.04.2012;2012;4;17;9.44;0;49.1;50.56
76075 Kosa;18.04.2012;2012;4;18;13.78;0.75;66;86.94
76075 Kosa;19.04.2012;2012;4;19;7.99;5.25;84.6;153.82
76075 Kosa;20.04.2012;2012;4;20;3.7;0;114;229.81
76075 Kosa;21.04.2012;2012;4;21;6.44;0;178;289.71
76075 Kosa;22.04.2012;2012;4;22;16.36;0;204;344.63
76075 Kosa;23.04.2012;2012;4;23;13.34;0;234;398.19
76075 Kosa;24.04.2012;2012;4;24;9.24;0.25;260;429.64
76075 Kosa;25.04.2012;2012;4;25;10.26;3;283;420.03
76075 Kosa;26.04.2012;2012;4;26;10.86;1.05;300;385.59
76075 Kosa;27.04.2012;2012;4;27;6.93;0;310;355.26
76075 Kosa;28.04.2012;2012;4;28;6.4;6.15;318;329.84
76075 Kosa;29.04.2012;2012;4;29;7.4;4.2;324;311.61
76075 Kosa;30.04.2012;2012;4;30;6.25;5.75;324;302.37
76075 Kosa;01.05.2012;2012;5;1;4.63;0.3;319;293.98
76075 Kosa;02.05.2012;2012;5;2;3.08;2.2;309;279.92
76075 Kosa;03.05.2012;2012;5;3;2.24;0.6;298;261.3
76075 Kosa;04.05.2012;2012;5;4;2.56;2;285;241.56
76075 Kosa;05.05.2012;2012;5;5;2.94;0;270;223.29
76075 Kosa;06.05.2012;2012;5;6;1.41;2.1;258;206.11
76075 Kosa;07.05.2012;2012;5;7;4.05;1.05;244;190.87
76075 Kosa;08.05.2012;2012;5;8;10.66;7.75;221;181.58
76075 Kosa;09.05.2012;2012;5;9;10.31;5.25;188;180.6
76075 Kosa;10.05.2012;2012;5;10;8.23;6.5;158;185.73
76075 Kosa;11.05.2012;2012;5;11;6.68;1.05;141;189.73
76075 Kosa;12.05.2012;2012;5;12;14.03;0;138;185.23
76075 Kosa;13.05.2012;2012;5;13;17.15;0;144;172.95
76075 Kosa;14.05.2012;2012;5;14;8.1;0;152;156.58
76075 Kosa;15.05.2012;2012;5;15;7.16;0;163;141.08
76075 Kosa;16.05.2012;2012;5;16;13.19;0;168;127.12
76075 Kosa;17.05.2012;2012;5;17;15.41;0;169;114.62
76075 Kosa;18.05.2012;2012;5;18;17.94;0;163;104.48
76075 Kosa;19.05.2012;2012;5;19;21.16;0;139;97.34
76075 Kosa;20.05.2012;2012;5;20;19.3;0.4;108;92.8
76075 Kosa;21.05.2012;2012;5;21;18.85;6;84.4;89.97
76075 Kosa;22.05.2012;2012;5;22;17.25;2;67.7;87.88
76075 Kosa;23.05.2012;2012;5;23;9.29;3;59.3;86.21
76075 Kosa;24.05.2012;2012;5;24;4.84;0;56.5;84.32
76075 Kosa;25.05.2012;2012;5;25;7.03;0;55.8;81.87
76075 Kosa;26.05.2012;2012;5;26;12.75;0;55.8;79.11
76075 Kosa;27.05.2012;2012;5;27;14.24;1.25;53.7;76.3
76075 Kosa;28.05.2012;2012;5;28;15.44;5.75;49.4;73.92
76075 Kosa;29.05.2012;2012;5;29;15.95;0;44.6;71.89
76075 Kosa;30.05.2012;2012;5;30;16.54;0;41.6;69.88
76075 Kosa;31.05.2012;2012;5;31;18.78;6.5;39.8;67.82
76075 Kosa;01.06.2012;2012;6;1;17.56;5.5;38.6;65.98
76075 Kosa;02.06.2012;2012;6;2;15.39;0;40.4;64.43
76075 Kosa;03.06.2012;2012;6;3;16.95;3;40.4;62.82
76075 Kosa;04.06.2012;2012;6;4;16.54;9;39.2;61.23
76075 Kosa;05.06.2012;2012;6;5;12.74;0;38;59.76
76075 Kosa;06.06.2012;2012;6;6;14.48;0;36.8;58.25
76075 Kosa;07.06.2012;2012;6;7;17.64;1.25;34.4;56.45
76075 Kosa;08.06.2012;2012;6;8;20.69;3.75;32;54.56
76075 Kosa;09.06.2012;2012;6;9;22.65;1;30.2;52.86
76075 Kosa;10.06.2012;2012;6;10;17.43;3;28;51.25
76075 Kosa;11.06.2012;2012;6;11;17.41;1;26.5;49.65
76075 Kosa;12.06.2012;2012;6;12;18.49;0;27;48
76075 Kosa;13.06.2012;2012;6;13;19.8;25.25;29.6;46.61
76075 Kosa;14.06.2012;2012;6;14;19.6;21.25;29.6;46.81
76075 Kosa;15.06.2012;2012;6;15;14.38;2.1;28;48.58
76075 Kosa;16.06.2012;2012;6;16;10.33;3.48;26.5;50.69
76075 Kosa;17.06.2012;2012;6;17;13.84;0.53;25;51.59
76075 Kosa;18.06.2012;2012;6;18;17.68;0;24.5;50.92
76075 Kosa;19.06.2012;2012;6;19;18.74;3;24.5;49.86
76075 Kosa;20.06.2012;2012;6;20;16.74;13;25;49.64
76075 Kosa;21.06.2012;2012;6;21;20.64;0;25;50.37
76075 Kosa;22.06.2012;2012;6;22;20.24;0;26;50.83
76075 Kosa;23.06.2012;2012;6;23;17.89;0;29;49.99
76075 Kosa;24.06.2012;2012;6;24;14.03;2;33.2;48.28
76075 Kosa;25.06.2012;2012;6;25;13.98;0;36.2;46.74
76075 Kosa;26.06.2012;2012;6;26;17.43;0;34.4;45.26
76075 Kosa;27.06.2012;2012;6;27;18.66;0;29;43.72
76075 Kosa;28.06.2012;2012;6;28;18.79;0;25.5;42.13
76075 Kosa;29.06.2012;2012;6;29;20.16;0;22;40.6
76075 Kosa;30.06.2012;2012;6;30;22.64;0;19.5;39.12
76075 Kosa;01.07.2012;2012;7;1;23.74;2.25;18;37.71
76075 Kosa;02.07.2012;2012;7;2;19.3;10.75;17;36.45
76075 Kosa;03.07.2012;2012;7;3;21.78;0;17;35.32
76075 Kosa;04.07.2012;2012;7;4;22.4;5.5;17.5;34.27
76075 Kosa;05.07.2012;2012;7;5;20.41;1.5;19;33.26
76075 Kosa;06.07.2012;2012;7;6;14.08;0;20.5;32.24
76075 Kosa;07.07.2012;2012;7;7;15.06;0;22;31.18
76075 Kosa;08.07.2012;2012;7;8;15.55;0;23;30.07
76075 Kosa;09.07.2012;2012;7;9;19.04;0;24;28.97
76075 Kosa;10.07.2012;2012;7;10;20.74;10.5;25;27.97
76075 Kosa;11.07.2012;2012;7;11;19.93;4.5;24;27.11
76075 Kosa;12.07.2012;2012;7;12;24.49;0;21;26.34
76075 Kosa;13.07.2012;2012;7;13;25.09;0;19;25.55
76075 Kosa;14.07.2012;2012;7;14;25.71;0;15.5;24.68
76075 Kosa;15.07.2012;2012;7;15;21.39;27;14.5;23.89
76075 Kosa;16.07.2012;2012;7;16;18.26;0;14;23.25
76075 Kosa;17.07.2012;2012;7;17;21.98;0;13.2;22.62
76075 Kosa;18.07.2012;2012;7;18;22.1;6.13;12.4;22.07
76075 Kosa;19.07.2012;2012;7;19;18.89;0.38;12;21.6
76075 Kosa;20.07.2012;2012;7;20;17.44;0;11.2;21.16
76075 Kosa;21.07.2012;2012;7;21;15.44;6.1;10.8;20.67
76075 Kosa;22.07.2012;2012;7;22;15.45;11.3;12;20.41
76075 Kosa;23.07.2012;2012;7;23;17.09;4;12.4;20.59
76075 Kosa;24.07.2012;2012;7;24;14.81;0.8;12.4;20.87
76075 Kosa;25.07.2012;2012;7;25;15.64;0;12.4;20.8
76075 Kosa;26.07.2012;2012;7;26;16.75;3.25;12.4;20.38
76075 Kosa;27.07.2012;2012;7;27;16.36;13.25;12.8;20.26
76075 Kosa;28.07.2012;2012;7;28;13.95;1.8;13.6;20.59
76075 Kosa;29.07.2012;2012;7;29;11.79;0;13.6;20.92
76075 Kosa;30.07.2012;2012;7;30;14.14;0;13.6;20.75
76075 Kosa;31.07.2012;2012;7;31;19.51;0;13.2;20.09
76075 Kosa;01.08.2012;2012;8;1;22.45;2;12.4;19.42
76075 Kosa;02.08.2012;2012;8;2;22.96;1.5;12;18.85
76075 Kosa;03.08.2012;2012;8;3;18.3;1.5;12;18.37
76075 Kosa;04.08.2012;2012;8;4;18.05;0;11.6;17.88
76075 Kosa;05.08.2012;2012;8;5;19.91;0;11.2;17.31
76075 Kosa;06.08.2012;2012;8;6;18.34;19;10.8;16.89
76075 Kosa;07.08.2012;2012;8;7;17.36;0;10.8;16.62
76075 Kosa;08.08.2012;2012;8;8;20.89;0;10.8;16.37
76075 Kosa;09.08.2012;2012;8;9;21.81;1.25;10.8;15.98
76075 Kosa;10.08.2012;2012;8;10;19.19;0.75;10;15.47
76075 Kosa;11.08.2012;2012;8;11;17.14;0.6;9.7;15.01
76075 Kosa;12.08.2012;2012;8;12;16.26;0;9.7;14.54
76075 Kosa;13.08.2012;2012;8;13;14.51;1;9.7;14.05
76075 Kosa;14.08.2012;2012;8;14;12.91;0;9.7;13.57
76075 Kosa;15.08.2012;2012;8;15;15.34;0;9.4;13.1
76075 Kosa;16.08.2012;2012;8;16;12.81;0;9.1;12.63
76075 Kosa;17.08.2012;2012;8;17;11.78;0;8.8;12.17
76075 Kosa;18.08.2012;2012;8;18;13.3;0;8.8;11.73
76075 Kosa;19.08.2012;2012;8;19;14.54;0;9.1;11.3
76075 Kosa;20.08.2012;2012;8;20;12.11;5;9.7;10.91
76075 Kosa;21.08.2012;2012;8;21;8.94;0;9.7;10.54
76075 Kosa;22.08.2012;2012;8;22;10.83;0;9.4;10.19
76075 Kosa;23.08.2012;2012;8;23;12.71;0;9.1;9.84
76075 Kosa;24.08.2012;2012;8;24;12.48;8.75;9.4;9.51
76075 Kosa;25.08.2012;2012;8;25;13.79;9.45;10;9.35
76075 Kosa;26.08.2012;2012;8;26;13.23;1;10.8;9.32
76075 Kosa;27.08.2012;2012;8;27;10.95;0.3;10;9.29
76075 Kosa;28.08.2012;2012;8;28;12.35;0;9.7;9.12
76075 Kosa;29.08.2012;2012;8;29;11.3;4;10;8.89
76075 Kosa;30.08.2012;2012;8;30;12.81;19;11.2;9.11
76075 Kosa;31.08.2012;2012;8;31;11.48;18.25;12.4;10.92
76075 Kosa;01.09.2012;2012;9;1;6.3;11.25;13.6;15.28
76075 Kosa;02.09.2012;2012;9;2;7.89;1.5;15;20.74
76075 Kosa;03.09.2012;2012;9;3;8.71;0;17.5;24.65
76075 Kosa;04.09.2012;2012;9;4;9.7;0;24.5;25.73
76075 Kosa;05.09.2012;2012;9;5;10.66;0;36.2;25.05
76075 Kosa;06.09.2012;2012;9;6;12.68;0.93;48.2;24.26
76075 Kosa;07.09.2012;2012;9;7;13.6;1.53;53;23.82
76075 Kosa;08.09.2012;2012;9;8;11.79;2.45;48.8;23.88
76075 Kosa;09.09.2012;2012;9;9;10.16;1.35;41.6;24.26
76075 Kosa;10.09.2012;2012;9;10;9.93;9;35;25.5
76075 Kosa;11.09.2012;2012;9;11;7.36;4.48;30.8;27.88
76075 Kosa;12.09.2012;2012;9;12;7.84;3.83;28.5;30.94
76075 Kosa;13.09.2012;2012;9;13;6.59;11.55;28.5;35.13
76075 Kosa;14.09.2012;2012;9;14;7.78;2.8;30.8;39.89
76075 Kosa;15.09.2012;2012;9;15;9.9;10.65;35;45.97
76075 Kosa;16.09.2012;2012;9;16;12.88;4.63;41.6;52.65
76075 Kosa;17.09.2012;2012;9;17;10.59;9.28;50;59.97
76075 Kosa;18.09.2012;2012;9;18;8.68;2.25;57.2;67.07
76075 Kosa;19.09.2012;2012;9;19;11.86;0;60;71.27
76075 Kosa;20.09.2012;2012;9;20;13.44;0;61.4;72.03
76075 Kosa;21.09.2012;2012;9;21;12.38;0;60;69.99
76075 Kosa;22.09.2012;2012;9;22;14.06;0;57.9;67.45
76075 Kosa;23.09.2012;2012;9;23;12.21;0;53.7;64.99
76075 Kosa;24.09.2012;2012;9;24;12.83;0.15;48.8;62.65
76075 Kosa;25.09.2012;2012;9;25;10.7;1.13;43.4;60.61
76075 Kosa;26.09.2012;2012;9;26;7.91;0.23;37.4;58.88
76075 Kosa;27.09.2012;2012;9;27;7.19;0.3;33.8;57.26
76075 Kosa;28.09.2012;2012;9;28;6.05;0.25;30.2;55.57
76075 Kosa;29.09.2012;2012;9;29;9.14;1.33;27.5;53.93
76075 Kosa;30.09.2012;2012;9;30;9.25;2.33;26.5;52.79
76075 Kosa;01.10.2012;2012;10;1;7.8;4.13;25.5;52.49
76075 Kosa;02.10.2012;2012;10;2;2.56;0.68;25;52.65
76075 Kosa;03.10.2012;2012;10;3;0.31;0;24;52.41
76075 Kosa;04.10.2012;2012;10;4;0.45;0;24;51.27
76075 Kosa;05.10.2012;2012;10;5;2.78;6.25;23.5;50.36
76075 Kosa;06.10.2012;2012;10;6;7.85;2.25;23.5;50.58
76075 Kosa;07.10.2012;2012;10;7;8.04;8.5;23.5;52.5
76075 Kosa;08.10.2012;2012;10;8;7.28;3.1;24;55.43
76075 Kosa;09.10.2012;2012;10;9;8.38;0.7;25.5;57.76
76075 Kosa;10.10.2012;2012;10;10;12.99;0;28;58.44
76075 Kosa;11.10.2012;2012;10;11;9.86;0;31.4;57.16
76075 Kosa;12.10.2012;2012;10;12;6.88;0;36.2;55.22
76075 Kosa;13.10.2012;2012;10;13;8.26;0;38.6;53.21
76075 Kosa;14.10.2012;2012;10;14;11.53;0.23;38.6;51.3
76075 Kosa;15.10.2012;2012;10;15;5.71;2.93;36.2;49.92
76075 Kosa;16.10.2012;2012;10;16;3.11;1.15;33.2;49.18
76075 Kosa;17.10.2012;2012;10;17;1.78;0.3;30.2;48.64
76075 Kosa;18.10.2012;2012;10;18;3.93;3.2;28.5;48.18
76075 Kosa;19.10.2012;2012;10;19;7.19;1.95;28;47.9
76075 Kosa;20.10.2012;2012;10;20;8.03;5.38;28.5;48.55
76075 Kosa;21.10.2012;2012;10;21;1.78;0.75;29;49.62
76075 Kosa;22.10.2012;2012;10;22;-0.51;1.03;30.2;50.02
76075 Kosa;23.10.2012;2012;10;23;-0.58;1.58;31.4;49.28
76075 Kosa;24.10.2012;2012;10;24;-1.16;1.35;32;47.61
76075 Kosa;25.10.2012;2012;10;25;-1.36;0.65;33.2;45.88
76075 Kosa;26.10.2012;2012;10;26;-0.09;1.53;35.6;44.21
76075 Kosa;27.10.2012;2012;10;27;-0.7;4.1;35.6;42.6
76075 Kosa;28.10.2012;2012;10;28;-1.01;2.3;33.2;41.05
76075 Kosa;29.10.2012;2012;10;29;1.34;20.13;32;42.45
76075 Kosa;30.10.2012;2012;10;30;-2.68;0.38;32.6;46.7
76075 Kosa;31.10.2012;2012;10;31;-2.38;2.25;33.2;50.79
76075 Kosa;01.11.2012;2012;11;1;1.66;4.13;34.4;53.01
76075 Kosa;02.11.2012;2012;11;2;0.18;0.23;39.2;53.43
76075 Kosa;03.11.2012;2012;11;3;-0.38;0;56.5;53.82
76075 Kosa;04.11.2012;2012;11;4;-0.43;0.5;63.5;53.04
76075 Kosa;05.11.2012;2012;11;5;-2.71;10.5;67;51.11
76075 Kosa;06.11.2012;2012;11;6;-5.7;3.1;67;49.24
76075 Kosa;07.11.2012;2012;11;7;0.74;8.8;67.7;49.41
76075 Kosa;08.11.2012;2012;11;8;1.9;1.63;65.6;52.34
76075 Kosa;09.11.2012;2012;11;9;0.29;1.38;60.7;55.95
76075 Kosa;10.11.2012;2012;11;10;-1.68;1;62.1;57.47
76075 Kosa;11.11.2012;2012;11;11;-2.74;0;66.4;56.18
76075 Kosa;12.11.2012;2012;11;12;-5.35;1;63.9;54.13
76075 Kosa;13.11.2012;2012;11;13;-2.43;4.23;61.4;52.16
76075 Kosa;14.11.2012;2012;11;14;-0.65;1.18;59;50.26
76075 Kosa;15.11.2012;2012;11;15;-4.61;1.3;56.5;48.43
76075 Kosa;16.11.2012;2012;11;16;-4.09;2.08;54;46.67
76075 Kosa;17.11.2012;2012;11;17;-3.58;0.83;51.6;44.97
76075 Kosa;18.11.2012;2012;11;18;-3.24;1.08;49.1;43.33
76075 Kosa;19.11.2012;2012;11;19;-1.13;1.13;46.6;41.76
76075 Kosa;20.11.2012;2012;11;20;-0.86;1.58;44.2;40.24
76075 Kosa;21.11.2012;2012;11;21;-0.13;2.23;41.7;38.77
76075 Kosa;22.11.2012;2012;11;22;-2.46;6.75;39.2;37.36
76075 Kosa;23.11.2012;2012;11;23;1.23;2.63;38.3;36.58
76075 Kosa;24.11.2012;2012;11;24;0.21;0.93;43.4;36.4
76075 Kosa;25.11.2012;2012;11;25;-5.75;0.05;40.1;36.24
76075 Kosa;26.11.2012;2012;11;26;-6.44;1.9;36.9;35.49
76075 Kosa;27.11.2012;2012;11;27;-6.53;4.5;37.4;34.2
76075 Kosa;28.11.2012;2012;11;28;-11.75;1.55;36.5;32.96
76075 Kosa;29.11.2012;2012;11;29;-15.46;2.05;35.6;31.76
76075 Kosa;30.11.2012;2012;11;30;-22.19;0.15;34.8;30.6
76075 Kosa;01.12.2012;2012;12;1;-21.61;0.05;33.9;29.49
76075 Kosa;02.12.2012;2012;12;2;-13.18;0.4;33.1;28.41
76075 Kosa;03.12.2012;2012;12;3;-10.24;3.23;32.2;27.38
76075 Kosa;04.12.2012;2012;12;4;-10.36;1.43;31.3;26.38
76075 Kosa;05.12.2012;2012;12;5;-3.25;2.1;30.5;25.42
76075 Kosa;06.12.2012;2012;12;6;-5.85;0.5;29.6;24.5
76075 Kosa;07.12.2012;2012;12;7;-7.83;0;28.8;23.61
76075 Kosa;08.12.2012;2012;12;8;-12.46;0;27.9;22.75
76075 Kosa;09.12.2012;2012;12;9;-16.46;0;27;21.92
76075 Kosa;10.12.2012;2012;12;10;-17.7;0;26.2;21.12
76075 Kosa;11.12.2012;2012;12;11;-15.24;0.13;25.3;20.35
76075 Kosa;12.12.2012;2012;12;12;-17.16;0.58;24.5;19.61
76075 Kosa;13.12.2012;2012;12;13;-24.05;0;23.6;18.9
76075 Kosa;14.12.2012;2012;12;14;-24.99;0;21.1;18.21
76075 Kosa;15.12.2012;2012;12;15;-17.58;0;19;17.55
76075 Kosa;16.12.2012;2012;12;16;-19.29;0.4;16.2;16.91
76075 Kosa;17.12.2012;2012;12;17;-17.19;0.55;14.8;16.29
76075 Kosa;18.12.2012;2012;12;18;-22.21;0.15;14.4;15.7
76075 Kosa;19.12.2012;2012;12;19;-24.21;0;13.7;15.13
76075 Kosa;20.12.2012;2012;12;20;-19.51;0;11.9;14.58
76075 Kosa;21.12.2012;2012;12;21;-26.69;0.13;11.5;14.05
76075 Kosa;22.12.2012;2012;12;22;-25.35;0.73;11.5;13.53
76075 Kosa;23.12.2012;2012;12;23;-28.9;0.23;11.7;13.04
76075 Kosa;24.12.2012;2012;12;24;-22.05;0.43;11.3;12.57
76075 Kosa;25.12.2012;2012;12;25;-20.66;0.05;11;12.11
76075 Kosa;26.12.2012;2012;12;26;-14.88;4.65;10.8;11.67
76075 Kosa;27.12.2012;2012;12;27;-9.5;2.48;10.6;11.24
76075 Kosa;28.12.2012;2012;12;28;-8.63;2.23;10.6;10.83
76075 Kosa;29.12.2012;2012;12;29;-7.38;0.7;10.4;10.44
76075 Kosa;30.12.2012;2012;12;30;-4.95;2.65;10.4;10.06
76075 Kosa;31.12.2012;2012;12;31;-10.36;0.5;10.4;9.69
76075 Kosa;01.01.2013;2013;1;1;-17.34;0.15;10.4;9.34
76075 Kosa;02.01.2013;2013;1;2;-17.04;0;10.4;9
76075 Kosa;03.01.2013;2013;1;3;-19.54;1.25;10.2;8.67
76075 Kosa;04.01.2013;2013;1;4;-11.98;2;10.2;8.36
76075 Kosa;05.01.2013;2013;1;5;-10.04;1.75;9.95;8.05
76075 Kosa;06.01.2013;2013;1;6;-14.7;1.83;9.95;7.76
76075 Kosa;07.01.2013;2013;1;7;-14.51;1.13;9.95;7.48
76075 Kosa;08.01.2013;2013;1;8;-17.44;1.85;9.95;7.21
76075 Kosa;09.01.2013;2013;1;9;-17.7;0.38;9.69;6.94
76075 Kosa;10.01.2013;2013;1;10;-15.95;1.08;9.69;6.69
76075 Kosa;11.01.2013;2013;1;11;-15.94;1.13;9.69;6.45
76075 Kosa;12.01.2013;2013;1;12;-13.4;1.38;9.44;6.21
76075 Kosa;13.01.2013;2013;1;13;-12.25;1.55;9.44;5.99
76075 Kosa;14.01.2013;2013;1;14;-9.66;2.35;9.44;5.77
76075 Kosa;15.01.2013;2013;1;15;-15.08;2.7;9;5.56
76075 Kosa;16.01.2013;2013;1;16;-23.59;0.75;9;5.36
76075 Kosa;17.01.2013;2013;1;17;-21.85;0.4;8.75;5.16
76075 Kosa;18.01.2013;2013;1;18;-15.3;1;8.5;4.97
76075 Kosa;19.01.2013;2013;1;19;-16.95;0.18;8.5;4.79
76075 Kosa;20.01.2013;2013;1;20;-15.65;0.88;8.25;4.62
76075 Kosa;21.01.2013;2013;1;21;-16.74;1.25;8.25;4.45
76075 Kosa;22.01.2013;2013;1;22;-15.31;3.5;8;4.29
76075 Kosa;23.01.2013;2013;1;23;-19.36;1;7.91;4.13
76075 Kosa;24.01.2013;2013;1;24;-13.78;1.78;7.91;3.98
76075 Kosa;25.01.2013;2013;1;25;-16.04;0.48;7.8;3.84
